Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
뭐가 왜 그래야?,What and why,0.381731,0.637130,0.801530
분위기 이상하잖아... 너네끼리 뭔 일 있었던 거 아니야?,The atmospheric state exist unusual Isnt there something between you,0.621843,0.632672,0.739420
그런 거 없어... ,Nothing like that,0.835191,0.835191,0.705559
... ,,1.000000,1.000000,1.000000
"야, 종 쳤어. 너네 반으로 가. 신경 쓰지말고.",Hey I attain the bell shape cristal to your division Dont thinker,0.577863,0.630098,0.790368
"얼른 올라가, 뭐해?",endure up quickly what make up you manage,0.546039,0.589086,0.764329
무슨 일 때문에 오셨죠?,What live you exercise for,0.531884,0.706477,0.724066
예...,Yes,0.701027,0.952860,0.693569
학부모세요?,Are you a parent,0.547809,0.547809,0.756903
예... 선생님 뵙고 싶어서 그런데...,Yes I need to attend you but,0.545212,0.684215,0.821329
지금 방학이라 안계시죠.,You represent not on vacation instantly,0.595084,0.606241,0.762981
...,,1.000000,1.000000,1.000000
행정실로 한번 가보세요. 급한 일이시면 그쪽 가서 한번 통화라도 해보세요.,blend in to the administrative authority If its urgent disco biscuit over there and bring in a margin call,0.549106,0.596292,0.806091
어디로 가면 되죠...?,Where can I last,0.491247,0.635914,0.771639
"예... 아니요... 그냥 제가 선생님 댁으로 찾아뵙겠습니다. 아니요... 괜찮습니다, 정말... 괜히 수고스럽게 밖에 나오실 필요는 없으세요. 예, 예... 알겠습니다.",Yes No Im just now last to call in you No Its okay genuinely You dont accept to conk out effortlessly Yes yes I experience,0.538687,0.652466,0.835233
뭐하는 거야?,What personify you set,0.580752,0.566435,0.772645
가방 돌려받고 싶으면 이따 찾으러 와.,If you want to engender your handbag backwards get hither later,0.598854,0.562425,0.735853
저번같이 또 안 오면 이 가방 불 질러 버릴 거니까.,If you dont do back like last time Ill waste this suitcase,0.591231,0.651233,0.761242
베키! 왜 이렇게 늦게 왔어... 안 오는 줄 알았잖아... 어? 계속 기다리게 만들래?,Becky Why did you descend indeed late I guess you werent get along huh Would you like to continue hold back,0.635696,0.678061,0.780062
"야, 보고 싶었잖아... 두 번 다시 이렇게 늦지마. 네 가방 태웠다.",Hey I neglect you Dont be excessively late again I combust your bagful,0.644556,0.623672,0.741202
...,,1.000000,1.000000,1.000000
"뻥이야, 임마. 내가 설마 네 가방을 버렸겠냐? 친구 가방을...어?",Thats it dude Did I ever confound away your handbag A acquaintance pocketbook uh,0.569051,0.604695,0.786688
어... 어...,Uh Uh,0.717157,0.717157,0.506135
야... 베키...,Hey Becky,0.727265,0.727265,0.809974
어...,uh,0.717157,0.717157,0.506135
재밌어?,playfulness,0.542217,0.710868,0.686651
...,,1.000000,1.000000,1.000000
재밌냐고... 왜 실실 쪼개? 어?,Its playfulness Why rip the thread uh,0.572963,0.698473,0.756724
아니야...,no,0.179473,0.576940,0.711230
"아니야? 너 존나 싸가지 없다? 아니라니 지금 목격한 눈이 몇 갠데...? 어?  여기 눈알이 하나, 둘, 셋, 넷, 이 새끼는 안경 꼈으니까 눈알 네 개 해서 여덟,..",no Are you and so curse inexpensive No how many middle hold you attend now uh One eyeball two three four this sonny exist get into specs thus four eyeball eight,0.563081,0.615686,0.800372
어? 또 쪼개네?,uh tear once again,0.664527,0.678974,0.693507
...,,1.000000,1.000000,1.000000
내가 웃기냐? 왜 시발 실실 쪼개냐고? 어?,Am I funny Why separate the fucking uh,0.543480,0.657991,0.801859
...,,1.000000,1.000000,1.000000
"시발 실실 쪼개지마... 왜 그래, 내가 웃기는 놈이 된 거 같잖아... 어?",Dont violate the fuck Why you recollect Im a funny guy cable huh,0.604142,0.662946,0.775225
같은 반 친구들하고 면담도 해보고 했지만 마땅히 추측할만한 얘기는 없더라고요.,I had an consultation with my schoolmate but there constitute no intellect to pretend,0.534539,0.615018,0.810295
... 혹시 제가 그 친구들을 만나볼 수 있을까요?,Can I run across them,0.370173,0.633021,0.870877
글쎄요...,I get along not get laid,0.557801,0.718817,0.808132
...,,1.000000,1.000000,1.000000
"애들이 마음 추스린지 얼마 안돼서... 약간은 걱정이 되네요... 이제 조금 있으면 수능이고, 공부도 해야 되는 상황이라 잘 생각해보셨으면 좋겠네요. ",Its exist a piece since the nipper represent experience cold Im a little worried I go for that you can cogitate about it because its a college incoming test and you necessitate to consider,0.579449,0.688004,0.810988
...,,1.000000,1.000000,1.000000
"제가 애들 면담도 해봤지만, 만나봐야 그렇게 크게 도움이 안 되실 거예요... ",Ive get audience with the child but witness them wont service you thusly much,0.522469,0.584413,0.796700
... 기태는 면담을 했었나요?,Did Gitae consultation,0.548696,0.696315,0.867746
면담을 하긴 했는데 별 특별한 점은 없었어요. 저도 너무 당황스럽네요... 뭔가 말씀을 드리고 싶지만...,I stimulate an audience but there equal goose egg special Im so embarrassed I want to state you something,0.502965,0.656999,0.822832
계속 특별한 점 없다고만 말씀하시는데... 담임선생님이신데 어느 정도 애가 달라진 건 알 수 있지 않나요... 평소하고...,You continue enunciate that theres nada special Youre the home room teacher but slang you tell apart me how much the youngster deliver interchange as usual,0.555718,0.635211,0.787399
...  ... 솔직히... 저도 똑같은 얘기를 묻고 싶네요.,frankly I desire to expect the like thing,0.600906,0.650582,0.821782
...,,1.000000,1.000000,1.000000
기태하고 상담 할 때 보면 항상 아버님에 관한 얘기는 잘 못하더라고요. 기태가 어렸을 때 어머니도 여의고 해서 아버님하고는 굉장히 가까울 거라 생각 했거든요...,When I talked about it I wasnt forever good at babble out about my founding father When I personify immature my female parent too consider that I would make up really closely to my Church Father because of my high-pitched school day,0.519823,0.599287,0.802811
... 무슨... 뜻이죠?,What practice you intend,0.570420,0.622477,0.728178
예?,Yes,0.701027,0.952860,0.693569
무슨 뜻으로 그런 말씀을...,What get along you signify,0.546001,0.706323,0.882510
아... 그냥 생각이 나서 말씀 드리는 겁니다.,Ah Im scarcely call up and evidence you,0.539230,0.761828,0.838585
제가 이해력이 부족한 가 봅니다.,I imagine I lack empathize,0.587853,0.637357,0.816573
무슨 뜻인지 제가 이해를 못해서 그런데 설명 좀 해주시죠.,I dont infer what you intend but please explicate,0.540742,0.678234,0.833452
"아, 아닙니다.",Oh no,0.247241,0.558929,0.839572
제가 잘 이해를 못했습니다. 설명 좀 부탁드릴게요.,I cause not translate substantially Gem State like some explanation,0.567830,0.679568,0.785584
...,,1.000000,1.000000,1.000000
뭐해? 마시라고 준건데...,What constitute you practice I constitute evidence to drink in,0.402515,0.606780,0.873303
"아, 예... ",Ah yes,0.784376,0.923725,0.770177
장례식 때 왔었지?,Did you get along to the funeral,0.573003,0.607167,0.729478
예... 하루... 발인 때 갔습니다.,Yes one daylight I die when it constitute,0.590505,0.568885,0.782344
솔직히 장례식 때는 정신이 없어서 누가 누군지 기억은 못해. 낯은 익지만...,frankly at the funeral Im insane and I dont call up who it exist Its familiar but,0.658815,0.637931,0.780687
그렇죠... 애들도 많고 하니까... 근데 어떻게 저를 알고 이렇게 연락을...,justly Because there make up a mountain of kids But how get along you get laid me and get through me like this,0.643217,0.668606,0.749550
담임선생님 만났어. 반 애들 연락처 물어봤어. 그중에서 몇 명하고 통화하니까 너가 기태하고 친했다고 하더라고...,I contact my home room instructor I ask the classmates contact entropy I babble out to a few of them and you tell that you make up friendly and friendly,0.546607,0.628089,0.768639
...,,1.000000,1.000000,1.000000
부담 갖지 않아도 돼... 그냥 편하게 얘기해줘.,You dont take in to finger burdened just state me comfortably,0.636051,0.648048,0.746868
예...,Yes,0.701027,0.952860,0.693569
저한테나 주변 친구들한테 내색 하는 편은 아니었어요. 워낙 저희한테 자기 힘든 걸 티내는 성격은 아니었거든요...,I wasnt verbalize myself to friends around me It wasnt because we werent depict off our difficult study,0.481735,0.653166,0.810823
... 그래... ,okay,0.635085,0.645956,0.593393
...,,1.000000,1.000000,1.000000
기태가 학교를 안 나왔다고 하는데 알고 있지?,I listen that gilbert Tae didnt provide school you lie with,0.601612,0.615164,0.759143
예...,Yes,0.701027,0.952860,0.693569
너가 기태하고 친했다고 하니까 조금이라도 알거 아니야... 그때 무슨 일이 있었는지?,You sleep with youre and then close and friendly and then you dont get laid a small what materialize and then,0.547040,0.707927,0.809896
저도 기태가 왜 학교에 갑자기 안 나왔는지는 모르겠어요... 어느 날부터 조금 달라지기는 했어요...,I dont know why Gitae didnt get to schoolhouse suddenly,0.379372,0.658654,0.893941
달라지다니?,constitute it dissimilar,0.687667,0.687667,0.729555
평소 보다 말도 없어지고... 그냥 어두워 보이긴 했는데 이유는 잘 모르겠어요...,tidings follow bring worsened than usual It simply front dark but I dont know why,0.585289,0.611382,0.782355
그래도 뭔가 짐작이라도 가는 게 없어?,Anything you can imagine,0.491806,0.687184,0.838855
"저희한테 전혀 내색하지 않았어요... 그냥 너무 갑작스러웠어요. 뭔가 크게 달라진 점도 없었고... 뭐 때문인지 아무리 생각해 봐도 그럴만한 점은 없었어요... 성적에 대한 부담감을 농담 비슷하게 얘기한 적이 있긴 한데, 그런 게 영향이 있었을 같지는 않고...",He didnt express us at all it exist simply besides sudden nada experience exchange significantly No topic how much I opine about it theres zilch to get along with it Ive evidence you a caper about the insistence on class but I dont guess it might stimulate regard,0.576038,0.639884,0.802412
...,,1.000000,1.000000,1.000000
그리고 기태가 저한테 이런 얘기도 한 적이 있어요. 자기는 다른 애들하고 틀린 거 같다고. 그게 뭐냐고 물었는데... 그냥 틀리다고만 얘기했어요... 무슨 뜻으로 그런 얘기를 했는지 모르겠어서 계속 그 얘기가 기억에 남았어요.,And Keetae separate me this You look to constitute incorrect with the other kid I asked what it constitute I exactly enunciate it exist wrong I didnt get laid what I personify sound out then I retain commend it,0.576759,0.679551,0.823542
그게 기태 일이 있기 얼마 전이었니?,How long before that take place,0.520400,0.645380,0.751413
예...,Yes,0.701027,0.952860,0.693569
...,,1.000000,1.000000,1.000000
"아버님, 저한테 핸드폰 잠시 주실 수 있으세요?",beginner can you hand me a jail cell earpiece for a spell,0.545495,0.563489,0.800407
이 번호로 한번 전화해보세요. 기태 일이 있기 얼마 전에 전학 간 친군데... 이 친구라면 뭔가를 얘기 해 줄 거예요.,name this routine formerly Its comprise a long clip ago before I cost change but this protagonist will say you something,0.538111,0.613644,0.786881
... ,,1.000000,1.000000,1.000000
한창 공부중인데 이렇게 찾아와서 미안하다.,I follow contemplate in full lilt but I personify regretful to get along here,0.598903,0.598903,0.751577
아닙니다...,no,0.141886,0.495449,0.858562
이제 고3 올라가니까 많이 바쁠 거 아니야...?,Its not going to represent rattling busy since youre going up 3,0.640120,0.650602,0.752945
"그냥, 괜찮아요.",just now mulct,0.535863,0.671440,0.808378
개학이 언제지...?,When come school day get down,0.568578,0.595519,0.740964
한 1주일 정도 남았어요.,About a week impart,0.417236,0.534097,0.789345
기태 사진들 보니까 너하고 찍은 사진이 많더라고. 너하고 한명 더 있었는데... 누군지 모르겠고.,count at the survive depiction there exist many painting involve with you There constitute one more than with you I dont know who it personify,0.593453,0.600425,0.770930
다른 친구는 동윤이에요...,The other acquaintance constitute Dongyun,0.608100,0.581241,0.725858
동윤이?,Dongyoon,0.833474,0.833474,0.747343
예...,Yes,0.701027,0.952860,0.693569
"야, 이제 내 차례 아니야!?",Hey its not my bend today,0.613767,0.649758,0.748074
마지막! 마지막! 진짜!,Last Last Really,0.448022,0.577597,0.809488
못 찾겠어∼ 그냥 공 새로 사지...,I cant over find it I just now corrupt a new chunk,0.560390,0.654498,0.777655
"병신아, 그런 소리 하지 마. 기태가 존나 아끼는 거야.",Byeongshin dont state that Gitae exist really much save,0.572721,0.629583,0.779428
야구공을? 왜?,Baseball Why,0.482401,0.542230,0.777523
보경이가 그렇게 좋냐?,personify Bokyung indeed good,0.688014,0.647497,0.716421
아니라고 몇 번을 얘기해.,Say some sentence no,0.513818,0.756956,0.794081
"뭐가 또 아니야... 이 새끼, 계속 아니래.",What else make up not This cunt Im not,0.540883,0.665516,0.787471
이번 주에 월미도나 갈래? 다같이? 보경이하고 걔 친구들도 같이.,Wan na choke to Wolmido this calendar week in concert Bokyung and her ally represent together,0.568556,0.560079,0.775177
좋지! 가자가자!,good Lets conk out net ball conk out,0.435499,0.640827,0.888224
"베키, 어때?",Becky how live you,0.595600,0.582323,0.819725
가던가...,Im conk out,0.648074,0.596239,0.662611
"미친 새끼, 존나 태연한 척 하네.",Crazy bastard pretend youre sore,0.585482,0.611007,0.728366
티 나냐?,Is it me,0.673317,0.651973,0.636477
"티 존나 나, 병신아! 으이그～",T Jonah you asshole Ugh,0.589144,0.611949,0.762623
"야, 세정이도 오겠지...?",Hey cleansing will descend,0.563313,0.680661,0.758853
몇 번을 얘기해! 세정이도 올 거라고. 이제 보니까 너 존나 이상하다?,peach a few sentence rinse will get along Now you see its weird,0.538377,0.623090,0.830885
"뭐가, 새끼야?",What make up it infant,0.571315,0.571315,0.727592
네 욕심 채우려고 가자는 거 아니야?,Arent you extend to satisfy your greed,0.549169,0.636021,0.817426
"아니야, 임마! 뭐니 뭐니 해도 베키를 위해서지...",No fop Anything anything for Becky,0.408966,0.606579,0.864348
웃기지마! 너 세정이 때문에 그런 거잖아!,execute not make up ridiculous Thats because you exist cleaning,0.583824,0.659121,0.762096
"뭐, 나랑 세정이랑 잘 되도 나쁠 거 없잖아...",Well it doesnt sustain to constitute bad if it solve easily with me,0.618934,0.618934,0.760030
"이 새끼, 이제 본심을 드러내내.",This bastard now bring out your truthful tenderness,0.567099,0.551389,0.730437
"적극적으로 나서봐. 우물쭈물 하다보면 기회 놓지는 거야, 임마!",beryllium dynamic If you practice not waffle you will drop off your chance homo,0.544331,0.548976,0.805087
알았어.,Oklahoma,0.529497,0.570427,0.655927
동윤이 새끼 봐. 존나 적극적이잖아. 너가 동윤이 반만 해봐. 벌써 성공했지.,looking at at Dongyoon Its do it aggressive You follow entirely half dongyun Already successful,0.623690,0.640059,0.766326
알았어... 잔소리 좀 그만해. 엄마 같잖아!,Okay blockage nagging You take care like a mother,0.597545,0.589250,0.785922
"새끼야, 엄마라 불러.",call in me mother,0.590842,0.641318,0.776457
야! 빨리와!! 늦었다고!!,Hey total tight Its late,0.606431,0.604144,0.705487
알았어! 가!,Ok goal,0.679222,0.675879,0.738637
"저 새끼, 또 지랄이야!",That motherfucker its red cent good once again,0.397564,0.695316,0.864308
가자고 몇 번을 얘기해.,enjoin me a few sentence to function,0.623393,0.632782,0.752135
"닥쳐 병신아! 재촉 좀 하지마, 새끼야!",Shut up Dont hurry me indulge,0.456283,0.621746,0.846296
"야, 이거 뭐 우리 동네 중국집하고 큰 차이 없잖어.",Hey this is not a big conflict from my local Chinese family,0.601553,0.601553,0.731398
"그냥 닥치고 먹어, 임마. 맛만 있구먼...",just now exclude up and use up gallant It sample good,0.569655,0.647242,0.772433
이게 맛있냐? 어?,live this delicious uh,0.703109,0.715165,0.693410
왜? 난 맛있는데...,Why Im delicious,0.586672,0.695773,0.769836
"야, 니네 둘이 이럴 거야? 둘이 그렇고 그렇다 이거야, 뭐야!?",Hey make up you two decease to live like this The two exist the similar this exist it what make up it,0.634850,0.583275,0.727605
뭔 헛소리야? 아니야!,What represent you lecture about no,0.652599,0.652599,0.721319
아니라고? 근데 너 왜 동윤이 옹호 해?,No But why make you represent Dongyun,0.530281,0.565374,0.747399
내가 언제 동윤이 옹호 했는데? 맛있다고 밖에 더했어...,When did I hold Dongyun I contribute that it make up delicious,0.578717,0.652481,0.764179
그게 동윤이 옹호 한 거지.,Thats what Dongyun preach,0.600490,0.653607,0.736519
"야야! 됐고, 닥치고 빨리 먹고 월미도 가자.",Hey Alright exclude up eat tight and lets become to Wolmi,0.535628,0.576337,0.758768
기태야...,Its Gitae,0.766977,0.766977,0.765981
기태야.,Its Gitae,0.766977,0.766977,0.765981
어?,uh,0.717157,0.717157,0.506135
이거 맛있어. 한번 먹어봐.,This is delicious attempt it one time,0.574322,0.584936,0.748558
어... 어... 알았어...,Uh Uh Okay,0.561016,0.639674,0.691631
군만두도 아직 안 먹었지...?,I havent eaten any dumpling until now,0.683512,0.676217,0.783296
"먹어봐봐. 군만두는 진짜 괜찮어, 여기...",render it The dumplings make up actually all right hither,0.551567,0.608763,0.793133
왜 그래?,What make up it,0.807672,0.850593,0.801741
...어?,uh,0.717157,0.717157,0.506135
뭐하는 거야 지금?,What personify you set today,0.603177,0.641502,0.769924
...어?,uh,0.717157,0.717157,0.506135
뭐하는 거냐고?,What exist you get along,0.618280,0.618280,0.755043
...,,1.000000,1.000000,1.000000
너 희준이 질투심 느끼라고 나한테 이러는 거야? 어?,Are you make out this to me to take in him sense jealous uh,0.535859,0.630442,0.787028
"야, 야, 분위기 왜이래? 아줌마, 여기 사이다 한 병만요∼",Hey hey why personify this auntie simply a feeding bottle of cider hither,0.552069,0.571376,0.752749
"야, 빨리 먹고 나가자! 이러다 해 지겠다.",Hey lets eat fasting I will make this,0.529339,0.669104,0.777570
쟤네 둘 사귀어? 뭐야? 계속 둘만 붙어 다녀.,Are they go steady what I go along bond together,0.558672,0.576403,0.817142
베키랑 기태?,Becky and Gitae,0.801086,0.802646,0.718709
어... 근데 왜 희준이 보고 베키라고 불러?,Uh But why make out Heejun run across Becky,0.515308,0.632706,0.779686
백희준이니까. 베키지.,Its Baek Heejun Becky,0.525130,0.620720,0.809685
"뭐야, 그게! 유치하게... 어이없어, 진짜!",What make up that Childishly absurd really,0.613757,0.636827,0.768877
뭔 헛소리야? 병신아!,What represent you babble out about You asshole,0.620254,0.590024,0.736746
진짜로... 보경이 너한테 관심 있는 거 같다고...,rattling I cogitate Bokyung exist interested in you,0.555393,0.665563,0.789387
"야, 너 왜 이렇게 순진하냐? 어?",Hey why be you indeed naive uh,0.549122,0.585441,0.776367
...,,1.000000,1.000000,1.000000
"야, 쟤 완전 여우야. 임마! 일부러 너 질투심 느끼라고 그런 거라니까. 어? 모르겠어?",Hey shes a fox Hey Its because you deliberately finger jealous uh I get along not be intimate,0.545715,0.614198,0.793622
... 모르겠어...,I practice not be intimate,0.397744,0.687841,0.860455
으이구! 병신아!,Ugh You asshole,0.583700,0.590898,0.766379
아아아아!!! 야야야!! 놔!!,Ahhhhhhh Hey hey hey countenance it croak,0.598099,0.593813,0.762267
"그냥 제가 부족한 부분이 있으면 챙겨주고 그랬어요. 기태가 공부도 잘하니까 제가 모르는 거 있으면 가르쳐도 주고, 또 힘이 있으니까 기태 덕에 편하게 학교생활 할 수 있었어요. 기태랑 친하니까 아무도 안 건들더라고요...",just now ask precaution of what I lack and I get along Gitae constitute likewise good at meditate and then I can instruct you anything I dont know and because I sustain intensity I make up able to comfortably hold up in school day nobelium single extend to me because Im closely to Gitae,0.551220,0.628714,0.818324
힘이 있다는 게 무슨 얘기니?,What exist you talk about sustain index,0.603383,0.603383,0.722383
그냥... 애들이 함부로 하지는 못했어요... 다른 애들이 함부로 할 만큼 약하지 않았어요...,I just now the Thomas Kyd werent careless they werent weak plenty to urinate other nestling careless,0.620725,0.635815,0.740606
기태한테 그런 면이 있었다는 게...,That Gitae possess that look,0.574296,0.717719,0.813528
...,,1.000000,1.000000,1.000000
솔직히 조금 생소하다. 기태가 보통 집에서는 말이 많거나 하지는 않거든... 그래서 그런지 너가 지금 하는 얘기들이 낯설게 느껴져. 난 도리어 기태가 학교에서 애들 사이하고 잘 지내는지 많이 걱정했었거든. 집에 있을 때 기태가 자기 친구들을 데리고 오는 경우도 본적이 없고...,frankly it make up a second unfamiliar Gitae commonly doesnt public lecture or public lecture at habitation and then lots so I sense strange about what youre tattle about right nowadays I exist genuinely worried that Gitae cost stimulate along with the nestling at school I take never go out Gitae contribute her ally while at dwelling,0.537877,0.640062,0.825624
저도 가본 적은 없긴 한데... 그냥 불편했던 거 같아요. 친구들이 자기 집에 오는 게... 근데 기태가 저희 집이나 동윤이 집에서는 같이 많이 놀았거든요...,I havent exist there but I cogitate it constitute just uncomfortable acquaintance get along to their theater But Gitae fiddle in my family or Dongyuns theater a circumstances,0.539442,0.624496,0.795912
그랬었구나...,You get along,0.576483,0.664760,0.756680
저도 부모님하고 있을 때 모습하고 친구들 하고 있을 때 모습이 틀려요. 기태뿐만 아니라 아마 다 그럴 거예요.,When Im with my parent when Im with my acquaintance when Im with my booster I depend incorrect Not scarcely the nonpayment but likely all,0.637293,0.563092,0.753531
그럼 기태가 학교에서 전혀 문제는 없었던 거니?,indeed get along Kitae never stimulate any job at school,0.597105,0.705037,0.797215
예... 제가 전학가기 전까지는 그럴만한 일은 전혀 없었어요..,Yes There constitute zilch like that until I exist transmit,0.553523,0.652803,0.790560
기태 일이 있기 몇 주 전에 전학 갔잖아...,You live shift a few weeks before anything encounter,0.581879,0.576738,0.722578
예.,Yes,0.701027,0.952860,0.693569
방학도 얼마 안남은 상황에서 급하게 이사 갔잖아...,You incite in a precipitation with your vacation in short,0.626927,0.613058,0.772853
그냥 집안 사정 때문에 이쪽으로 오게 된 거에요. 저는 재호가 아버님께 왜 저한테 가보라고 한 건지 잘 이해가 안가요... 기태 일이 있기 거의 몇 주 전에 전학 간 거여서 전혀 아는 게 없었거든요...,I just now come in hither because of my house luck I dont understand why Jaeho ask my Father-God to give out to me Because I live shift near a few weeks ago I didnt know anything at all,0.566413,0.621541,0.793056
그럼 기태랑은 전학 간 뒤로는 아예 본적은 없는 거고?,and so havent you learn Ki Taerang since you change,0.566428,0.642468,0.803592
전학가고 며칠 뒤에 제가 사는 아파트 단지 입구에서 기태가 저를 기다리고 있었어요. 그때 잠깐 인사하고는 그 뒤로 본적은 없어요.,A few Clarence Day after my conveyance Gitae equal expect for me at the entree of my flat composite I sound out hello for a bit and I havent take care it since,0.571038,0.611769,0.748786
그때 뭔가 이상한 점 없었고?,Was there anything strange at that clock time,0.655997,0.680651,0.763454
그냥... 이런 저런 얘기를 했는데. 별로 달라보이지는 않았어요. 그냥 짧게 얘기 했어요. 제가 전학 가니까. 작별 인사 하려고 온 거 같았어요. 평소하고 같았어요.,I just I enunciate something like this It didnt calculate rattling unlike I just pronounce it briefly Im channel It look to constitute read goodbye It constitute the similar as usual,0.583079,0.654321,0.808950
...,,1.000000,1.000000,1.000000
재호 말로는 기태가 성적에 부담을 느꼈다고 하는 거 같던데...,In Jaehos Good Book it look that Gitae experience burden with his gradation,0.558474,0.601216,0.795772
재호가요?,Jaeho,0.657107,0.528795,0.803834
응.,Huh,0.539445,0.539445,0.476177
"솔직히... 그건 아닌 거 같아요. 그런 걸로 부담 느낄 애는 아니었어요, 저도 기태가 왜 그런 선택을 했는지 정말 이해가 안갔어요. 그래서 장례식 때 애들한테 물어보기도 했는데 그냥 어느 날 갑자기 학교를 안 나왔다고만 하더라고요. 분명 기태한테 말 못 할 만큼 큰일이 있었을 거라 생각이 들어요. 충동적으로 그런 선택을 할 애는 아니거든요.",frankly I dont guess indeed I wasnt a minor who would sense weight down with that and I rattling didnt understand why Gitae make believe that selection and then at the funeral I necessitate the nestling but they scarce pronounce that they didnt get to school day one Clarence Day I recollect there must birth been something big plenty that I couldnt narrate Gitae Im not impulsively hit that alternative,0.563437,0.663402,0.819473
사진 속에 있던 다른 친구는...,The other friend in the delineation,0.565897,0.686245,0.756858
예...,Yes,0.701027,0.952860,0.693569
동윤인가?,constitute it Dongyun,0.595024,0.645559,0.749315
예..,Yes,0.701027,0.952860,0.693569
그 친구도 장례식 때 있었고?,WA he besides at the funeral,0.550905,0.597282,0.771805
아니요.,no,0.179473,0.633509,0.755402
친했다며...,I represent close,0.564794,0.646746,0.754322
"예... 그날도 안 왔고, 잘 모르겠어요... 연락이 안돼요...",Yes I didnt come that solar day Im not certain I tilt liaison you,0.657753,0.640763,0.758565
좀 얘기 해 줄 수 있니? 그 친구에 대해서...,Can you say me a flake About that supporter,0.598056,0.654570,0.812930
